Wallet No,Merchant Name,MAO Name,Sub Pillar,ISD/OSD?,Wallet Type,Rate,Lead Type,District,Address,Registration Date,Sub-Category,Registration Month,Jan'26 PC,Jan'26 PA,Jan'26 CC,Avg. Ticket Size Jan,Feb'26 PC,Feb'26 PA,Feb'26 CC,Avg. Ticket Size Feb,Mar'26 PC,Mar'26 PA,Mar'26 CC,Avg. Ticket Size March,Apr'26 PC,Apr'26 PA,Apr'26 CC,Avg. Ticket Size April,May'26 PC,May'26 PA,May'26 CC,June'26 PC,June'26 PA,June'26 CC,Jul'26 PC,Jul'26 PA,Jul'26 CC,AugPC,AugPA,Aug CC,Aug Active,Avg. Ticket Size,July to Aug Growth,Dormant Months Count (Jan to Aug),Audit Flag
1707929390,Robin Mobile servicing center,Md. Sazzad Hossain Sojan,KA,OSD,M+,1.15%,Pitch/Own Source,CHITTAGONG,"Village-Km Plaza, Road-Dt Road, Holding No-239, Ward No-07, Hathazari, Chittagong-4330",1/13/2026,Mobile & Gadget,1,8,"11,400",8,"1,425",5,"14,460",5,"2,892",8,"22,540",8,"2,818",9,"12,250",9,"1,361",9,"11,640",9,8,"9,210",8,13,"12,160",13,5,"7,057",5,Active,1411.4,-41.97%,0,Healthy/Active
1928077483,Muscat Holiday Resort Ltd.,Shahriar Shamim,Travel & Tourism,ISD,Lite A,1.29%,Pitch/Own Source,COXS BAZAR,"Soikot Abasik Elaka, Kolatoli, Coxsbazar Sadar, Coxsbazar 4700",1/13/2026,Offline,1,0,0,0,N/A,0,0,0,N/A,3,"1,200",3,400,3,"1,020",3,340,4,"1,010",3,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,0,Healthy/Active
1810192996,Olympia Bakery & Confectionery Ltd.,Md. Sazzad Hossain Sojan,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,204 New Market 2 No Gate Dhaka-1205,1/13/2026,Bakery & Sweets,1,3,"3,060",3,"1,020",0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,0,Healthy/Active
1805990902,Jheel maestria,Md. Meraj Ali Akash,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"208/1, Tejgaon I/A, Dhaka-1208",1/14/2026,Restaurant & Cafe,1,4,"4,598",4,"1,150",30,"53,948",28,"1,798",86,"186,430",83,"2,168",59,"143,537",55,"2,433",64,"150,525",63,54,"141,991",53,54,"110,245",51,57,"172,984",52,Active,3034.807018,56.91%,0,Healthy/Active
1842161116,alhamdulillah Telecom,Md. Sazzad Hossain Sojan,KA,OSD,M+,1.15%,Merchant Referral,MUNSHIGANJ,"Hatimara Mokka Modina Super Market, Word No-09, Rampal, Munshiganj Sadar, Munshiganj-1500",1/14/2026,Mobile & Gadget,1,5,"5,750",4,"1,150",3,"3,391",3,"1,130",0,0,0,N/A,3,"2,802",3,934,1,"28,336",1,3,"20,252",3,0,0,0,3,"7,262",3,Active,2420.666667,New,0,Sudden Reactivation - Review
1319350390,Meetpure Bangladesh,Md. Meraj Ali Akash,Travel & Tourism,ISD,Lite A,1.29%,Pitch/Own Source,DHAKA,"Bari No-15/1-2 Bashantek Tower, Dewanpara Road, Bhasantek Dhaka Cantonment Dhaka-1206",1/14/2026,Online,1,3,"3,500",3,"1,167",3,"2,645",1,882,3,"1,757",3,586,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,0,Healthy/Active
1736534910,New Fitness Fast Zim and Health (Fitness First Gym),Md. Ashraful Islam,KA,ISD,Lite A,1.29%,Pitch/Own Source,DHAKA,5/B Sekhertek Mohammadpur Dhaka-1207,1/14/2026,Clubs & Associations,1,1,500,1,500,3,"2,005",3,668,1,1,1,1,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,7,High Dormancy - Review
1611751554,Zara Footwear ( ELEVATE SHOES),Shahriar Shamim,KA,ISD,Lite B,1.29%,Pitch/Own Source,DHAKA,"Level-6, Block C, Shop 39, Bashundhara City Shopping Complex, Tejgaon, Dhaka-1215",1/15/2026,Footwear,1,60,"103,071",42,"1,718",76,"542,614",41,"7,140",52,"116,645",31,"2,243",152,"433,907",109,"2,855",234,"514,198",138,181,"387,158",118,206,"418,928",135,195,"444,005",125,Active,2276.948718,5.99%,0,Healthy/Active
1324557799,The Taste Lab,Shahriar Shamim,KA,ISD,Lite B,1.29%,Pitch/Own Source,DHAKA,"House 11, 1/B Road, Sector 9, Uttara, Dhaka-1230",1/15/2026,Restaurant & Cafe,1,83,"47,319",78,570,76,"46,919",65,617,99,"69,490",87,702,105,"56,768",90,541,121,"58,192",104,197,"98,102",162,185,"95,321",145,151,"107,749",125,Active,713.5695364,13.04%,1,Monitor
1719486559,Previous resort and restaurant,Talha Yusuf,KA,ISD,M+,1.15%,Pitch/Own Source,NARAYANGANJ,"Plot-10, Road-203/B, Nila Market Rupganj Narayanganj-1464",1/18/2026,Restaurant & Cafe,1,10,"19,835",9,"1,984",11,"34,129",10,"3,103",19,"41,517",18,"2,185",23,"49,536",19,"2,154",51,"95,359",44,59,"153,122",51,102,"237,913",83,102,"303,693",81,Active,2977.382353,27.65%,0,Healthy/Active
1709995513,Baby Care Bangladesh,Md. Sazzad Hossain Sojan,Online Payments,ISD,Lite A,1.29%,Merchant Referral,DHAKA,"127, Hajaribagh Tenari Alaka, Hajaribagh Dhaka-1209",1/18/2026,E-Commerce,1,28,"13,246",27,473,40,"50,598",37,"1,265",43,"40,945",40,952,98,"119,765",95,"1,222",127,"198,000",116,85,"130,555",78,95,"140,575",88,86,"178,450",79,Active,2075,26.94%,2,Monitor
1339877602,Cha Bilash Uttoma,Md. Meraj Ali Akash,KA,ISD,M+,1.15%,Merchant Referral,DHAKA,"House-13, Road-13, Sector-1, Uttara 1230, Dhaka, Bangladesh",1/18/2026,Restaurant & Cafe,1,36,"21,598",23,600,42,"19,582",34,466,42,"13,839",32,330,40,"14,165",30,354,58,"24,364",33,52,"15,767",37,75,"25,664",45,102,"35,340",69,Active,346.4705882,37.70%,7,High Dormancy - Review
1711659784,Global education consultancy,Fahim Kazi,Travel & Tourism,ISD,Lite A,1.29%,Social Media Lead,DHAKA,"House No 12, Road No 06, Sector 09, Kachabazar Uttara Dhaka-1230",1/18/2026,Offline,1,7,"8,554",1,"1,222",1,"2,030",1,"2,030",5,"73,502",3,"14,700",2,"1,017",2,509,2,"24,751",2,2,519,1,0,0,0,1,"1,504",1,Amber,1504,New,1,Sudden Reactivation - Review
1322336644,oikotan sangskritik goshthi,Talha Yusuf,Education,OSD,M+,1.50%,Pitch/Own Source,CHITTAGONG,"Dataram Chowdhury Sarak, Fateyabad 4335 Hathajari, Chattogram-4334",1/18/2026,Training Institute,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,0,Healthy/Active
1896065945,Kahf Bangladesh ltd,Md. Meraj Ali Akash,Online Payments,ISD,M+,10%,Merchant Referral,DHAKA,"House No-1110, Level-03 Road 9A, Avenue 8, Mirpur Dohs Pallabi Dhaka-1216",1/19/2026,Content,1,201,"22,113",195,110,413,"38,669",400,94,"2,171","265,186","1,425",122,218,"27,926",178,128,321,"42,231",254,"1,008","197,187",861,"4,316","271,213","1,797","10,928","454,931","2,541",Active,41.62984993,67.74%,0,Healthy/Active
1795455197,Tarek Telecom ( Oraimo Mirpur-1 Brand Shop),Md. Ashraful Islam,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"1/A/B, Darus Salam Road, Shop-1/9, Capital Tower, Mirpur, Dhaka-1216",1/19/2026,Mobile & Gadget,1,0,0,0,N/A,119,"162,372",98,"1,364",171,"260,881",140,"1,526",108,"148,690",94,"1,377",111,"205,904",108,192,"312,651",168,179,"317,350",162,61,"93,120",59,Active,1526.557377,-70.66%,0,Healthy/Active
1786246510,Mart Shop BD,Md. Meraj Ali Akash,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"218/6, Dokkhin Pirerbagh, Amtola 60 Feet Raod, Mirpur, Dhaka-1216",1/19/2026,Mobile & Gadget,1,16,"34,690",15,"2,168",5,"5,570",5,"1,114",14,"81,120",12,"5,794",18,"15,210",17,845,31,"75,350",27,29,"28,991",27,32,"30,713",32,41,"39,570",38,Active,965.1219512,28.84%,3,Monitor
1689150166,Blackin,Talha Yusuf,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"6-A/B Darus Salam Mirpur 1, Dhaka-1216",1/19/2026,Apparel Standalone,1,0,0,0,N/A,5,"12,100",5,"2,420",46,"93,950",42,"2,042",0,0,0,N/A,1,"1,800",1,3,"180,000",1,1,950,1,3,"1,000",3,Active,333.3333333,5.26%,2,Monitor
1752707958,Banga Khan High School,Talha Yusuf,Education,OSD,M+,1.30%,Pitch/Own Source,LAKSHMIPUR,"Laxmipur Sadar, Laxmipur-3711",1/19/2026,National Curriculum-Private,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,1,Monitor
1722381992,Eduvance,Shahriar Shamim,Travel & Tourism,ISD,Lite A,1.29%,CIMT,DHAKA,"Bari-39/11/A, Baishteki, Kafrul, Mirpur-13, Dhaka-1216",1/19/2026,Offline,1,2,"22,367",2,"11,184",6,"87,160",6,"14,527",3,"1,500",3,500,3,"22,921",3,"7,640",4,"33,000",4,2,"2,290",2,0,0,0,0,0,0,Zero Transacting,N/A,New,6,High Dormancy - Review
1648430330,Kid's Toy Bazar,Shahriar Shamim,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"73 Mitford Road, Chak Bazar, Dhaka-1211",1/20/2026,E-Commerce,1,60,"15,210",59,254,157,"50,050",155,319,93,"35,180",92,378,115,"58,993",114,513,70,"16,840",69,83,"22,560",81,84,"30,755",81,61,"55,975",58,Active,917.6229508,82.00%,7,High Dormancy - Review
1743166842,JRS Angina,Shahriar Shamim,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"Shop No-09, 4Th Floor Sks Mohakhali, Vip Road, Gulshan, Dhaka-1212",1/20/2026,Restaurant & Cafe,1,6,"1,481",6,247,38,"9,545",30,251,1,1,1,1,50,"17,375",43,348,18,"4,420",16,3,231,3,24,"1,835",22,153,"11,676",87,Active,76.31372549,536.29%,0,Healthy/Active
1827865765,Organico Consumer Goods,Shahriar Shamim,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"Holding-134/8 Furfura Sharif Darus Salam, Mirpur, Dhaka-1216",1/20/2026,E-Commerce,1,3,912,2,304,7,"2,815",4,402,3,"3,300",3,"1,100",3,"1,402",3,467,1,200,1,2,"1,200",2,2,102,2,4,"7,701",3,Active,1925.25,7450.00%,0,Healthy/Active
1838202907,Astronomy Pathshala,Md. Sazzad Hossain Sojan,Online Payments,ISD,M+,2%,Whatsapp Group,DHAKA,"1/1, Azimpur Adhunik Nagar Market, Lalbagh, Dhaka 1211",1/20/2026,Content,1,12,"2,800",12,233,16,"3,200",16,200,1,200,1,200,0,0,0,N/A,0,0,0,0,0,0,0,0,0,22,"8,800",20,Active,400,New,0,Sudden Reactivation - Review
1339760468,AgamiBD Limited (Japan Shoes),Md. Ashraful Islam,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"114, New Elephant Road, New Market, Dhaka 1205, Bangladesh",1/20/2026,E-Commerce,1,4,"1,501",4,375,0,0,0,N/A,662,"1,257,030",655,"1,899","1,365","2,677,047","1,335","1,961","1,531","2,822,548","1,488",309,"616,104",303,0,0,0,0,0,0,Zero Transacting,N/A,New,0,Healthy/Active
1880648666,chicstyle by SL,Md. Sazzad Hossain Sojan,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"Shop 3106, Shimanto Shambhar Shopping Complex, Dhanmondi, Dhaka-1209",1/20/2026,Apparel Standalone,1,4,"3,450",4,863,15,"68,155",14,"4,544",10,"30,851",10,"3,085",3,"3,552",3,"1,184",2,"6,600",2,3,"5,222",3,0,0,0,0,0,0,Zero Transacting,N/A,New,2,Monitor
1316008004,Monoshilon,Md. Ashraful Islam,Online Payments,OSD,Lite A,1.29%,Merchant Referral,DHAKA,Choto Ramnathpur W- 01 Haruchandi 1330 Dohar Dhaka,1/20/2026,E-Commerce,1,0,0,0,N/A,0,0,0,N/A,5,"11,210",4,"2,242",0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,7,High Dormancy - Review
1717698893,Rising sun model school,Md. Ashraful Islam,Education,OSD,Pay Bill,1.30%,Merchant Referral,LALMONIRHAT,Gorol Kaliganj Lalmonirhat-5520,1/20/2026,National Curriculum-Private,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,5,High Dormancy - Review
1326882800,Tanzilul Quran Madrasha Bangladesh,Shahriar Shamim,Education,ISD,M+,1.30%,Pitch/Own Source,DHAKA,Dokkin Banasree Khilgaon Dhaka-1219,1/21/2026,National Curriculum-Private,1,3,"1,200",3,400,10,"23,840",8,"2,384",8,"13,511",6,"1,689",12,"24,050",10,"2,004",15,"33,750",12,10,"21,142",9,20,"47,630",17,19,"52,147",18,Active,2744.578947,9.48%,1,Monitor
1334930483,Herblife nutrition Limited,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,"192-193 Green Road, Dhanmondi Dhaka-125",1/21/2026,Superstore Chain,1,16,"13,585",14,849,40,"19,185",34,480,28,"15,801",19,564,59,"43,990",46,746,42,"24,497",34,29,"14,955",26,51,"36,030",48,66,"51,335",56,Active,777.8030303,42.48%,2,Monitor
1334930485,Herblife nutrition Limited,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,19/55 Ward-07 Opposite Apex Showroom Rupnagar Mirpur-2 Dhaka-1216,1/21/2026,Superstore Chain,1,4,"2,870",4,718,25,"14,970",23,599,20,"12,021",19,601,31,"24,050",29,776,20,"10,111",18,30,"19,441",29,32,"19,875",27,50,"32,890",47,Active,657.8,65.48%,1,Monitor
1334930484,Herblife nutrition Limited,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,"Lalmatia Mohammadpur House No-B/27, Street No-Zakir Hossain Road, Block-E, Mohammadpur Dhaka-1207",1/21/2026,Superstore Chain,1,7,"10,900",5,"1,557",22,"10,180",18,463,19,"9,181",16,483,29,"23,600",27,814,20,"11,695",20,28,"9,800",20,31,"19,010",27,21,"8,310",20,Active,395.7142857,-56.29%,2,Monitor
1339760462,AgamiBD Limited (Times Flow),Md. Ashraful Islam,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"114 New Elephant Road, New Market Dhaka-1205 Bangladesh",1/21/2026,E-Commerce,1,3,"1,500",3,500,0,0,0,N/A,567,"1,157,136",556,"2,041","1,291","2,662,344","1,247","2,062","1,565","2,532,523","1,510",272,"417,497",270,0,0,0,0,0,0,Zero Transacting,N/A,New,1,Monitor
1728674984,Loka Textile,Shahriar Shamim,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"Plot-132, Shohidullah Chairman Bari, Uttarkhan, Dhaka-1230",1/27/2026,E-Commerce,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,2,Monitor
1614000688,Syntax Mart,Md. Ashraful Islam,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"House-508, Road-09, Baridhara Dohs, Khilkhet Dhaka-1229",1/27/2026,E-Commerce,1,0,0,0,N/A,3,"2,002",2,667,1,510,1,510,0,0,0,N/A,0,0,0,0,0,0,1,500,1,0,0,0,Zero Transacting,N/A,-100.00%,1,Monitor
1958049489,MIE ENGLISH,Md. Sazzad Hossain Sojan,Education,ISD,MMBO,1.50%,Pitch/Own Source,DHAKA,"Nahar Green Summit, Level 02, Dhanmodi 27, Dhaka 1209",1/28/2026,Coaching Center,1,0,0,0,N/A,3,"13,800",3,"4,600",7,"18,700",7,"2,671",30,"196,319",24,"6,544",39,"192,900",33,32,"250,940",27,31,"231,010",27,47,"320,160",37,Active,6811.914894,38.59%,3,Monitor
1958094500,MIE ENGLISH,Fahim Kazi,Education,ISD,MMBO,1.50%,Pitch/Own Source,SYLHET,"Hs Tower 1St Floor, Dargah Gate, Road, Sylhet 3100, Dakkhin Surma",1/28/2026,Coaching Center,1,0,0,0,N/A,0,0,0,N/A,7,"9,902",3,"1,415",15,"67,500",3,"4,500",30,"202,600",4,40,"243,901",8,32,"189,600",6,29,"238,100",6,Active,8210.344828,25.58%,5,High Dormancy - Review
1950334492,Hotel Blue Sky (Residential),Md. Meraj Ali Akash,Travel & Tourism,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"1/A/B, Darous Salam Road, Capital Tower, 5Th And 6Th Floor, Mirpur-1, Mirpur, Dhaka-1216",1/28/2026,Offline,1,0,0,0,N/A,42,"123,380",24,"2,938",47,"145,100",31,"3,087",76,"213,863",64,"2,814",65,"160,709",50,63,"171,460",50,53,"155,891",37,66,"213,990",53,Active,3242.272727,37.27%,3,Monitor
1958049488,MIE ENGLISH,Fahim Kazi,Education,ISD,MMBO,1.50%,Pitch/Own Source,DHAKA,"Basa 464/H, 6Th Floor, Islam Tower, D I T, Rampura, Badda, Dhaka 1212",1/28/2026,Coaching Center,1,0,0,0,N/A,0,0,0,N/A,26,"233,300",19,"8,973",47,"352,780",33,"7,506",39,"218,860",28,44,"507,632",23,28,"200,020",12,22,"212,600",6,Active,9663.636364,6.29%,1,Monitor
1958049490,MIE ENGLISH,Md. Sazzad Hossain Sojan,Education,ISD,MMBO,1.50%,Pitch/Own Source,DHAKA,"House 40, Lake Drive Road, Sector 7, Uttara, Dhaka 1230",1/28/2026,Coaching Center,1,0,0,0,N/A,3,"18,250",3,"6,083",7,"22,000",5,"3,143",13,"66,600",8,"5,123",14,"43,505",9,15,"91,024",9,15,"94,076",11,17,"117,100",11,Active,6888.235294,24.47%,1,Monitor
1958049496,MIE ENGLISH,Fahim Kazi,Education,ISD,MMBO,1.50%,Pitch/Own Source,RAJSHAHI,"Ah Tower Level 2, Alokor More, New Market, Road, Boalia, Rajshahi 6100",1/28/2026,Coaching Center,1,0,0,0,N/A,0,0,0,N/A,3,"48,502",3,"16,167",8,"95,973",2,"11,997",14,"129,700",1,6,"36,800",1,9,"44,500",3,22,"97,610",12,Active,4436.818182,119.35%,1,Monitor
1958611023,Times Square Lounge,Shahriar Shamim,KA,OSD,M+,1.15%,CIMT,DHAKA,"Times Square Lounge, 427, Ashrafbad, Kamrangichar, Dhaka-1211",1/28/2026,Restaurant & Cafe,1,0,0,0,N/A,8,"8,160",8,"1,020",40,"54,772",40,"1,369",73,"102,869",65,"1,409",55,"63,507",51,72,"79,634",61,66,"87,974",58,71,"93,315",61,Active,1314.295775,6.07%,1,Monitor
1958094529,MIE PATHWAYS,Fahim Kazi,Education,ISD,MMBO,1.50%,Pitch/Own Source,DHAKA,"Concord Mumtaz Karim Heritage, Level 3, 76 Satmasjid Road, Dhanmondi, Dhaka 1205",1/28/2026,Coaching Center,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,"3,000",1,"3,000",3,"20,800",2,1,"10,000",1,0,0,0,1,"50,000",1,Amber,50000,New,5,High Dormancy - Review
1322909683,Motion view,Fahim Kazi,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"10/25, Eastern Plaza Hatirpool Kalabagan, Dhaka-1205",1/28/2026,Mobile & Gadget,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,4,"8,200",4,7,"15,000",7,12,"32,465",6,Active,2705.416667,116.43%,7,High Dormancy - Review
1898777395,Gen Z Travels,Shahriar Shamim,Travel & Tourism,ISD,Lite A,1.29%,CIMT,DHAKA,"E-10/1-2, 9Th Floor East Side, Paltan China Town, 67/1, 68, Naya Paltan, Paltan, Dhaka-1000",1/28/2026,Offline,1,0,0,0,N/A,0,0,0,N/A,4,"1,500",4,375,3,"1,500",3,500,1,1,1,0,0,0,0,0,0,1,"28,780",1,Amber,28780,New,5,High Dormancy - Review
1805081777,"Majeda Specialized Hospital For Diabetes, Meternity And Child Care",Md. Meraj Ali Akash,KA,OSD,M+,1.15%,Social Media Lead,SHARIATPUR,"Naria Shadhinata Bhaban Sharak, Naria, Shariatpur-8020",1/28/2026,Hospital,1,0,0,0,N/A,8,"9,090",7,"1,136",10,"17,570",10,"1,757",10,"11,650",8,"1,165",16,"15,400",13,18,"28,290",14,11,"18,810",9,17,"23,455",13,Active,1379.705882,24.69%,6,High Dormancy - Review
